# Wavelength[nm],R%
350.0,92.14728
350.5,90.87229
351.0,88.62699
351.5,86.45941
352.0,85.55815
352.5,85.81044
353.0,87.49623
353.5,89.28599
354.0,91.3632
354.5,91.86158
355.0,91.11671
355.5,87.61523
356.0,83.6405
356.5,79.02462
357.0,74.60371
357.5,70.82021
358.0,69.46781
358.5,69.67492
359.0,70.34382
359.5,69.83807
360.0,69.31956
360.5,68.93521
361.0,67.77257
361.5,66.51628
362.0,66.64014
362.5,70.00784
363.0,74.58191
363.5,79.86282
364.0,85.42001
364.5,90.42251
365.0,94.03053
365.5,96.81362
366.0,98.4196
366.5,98.77841
367.0,99.58253
367.5,99.69254
368.0,99.58656
368.5,99.59904
369.0,99.41348
369.5,99.6132
370.0,99.51027
370.5,99.38096
371.0,99.13381
371.5,99.53704
372.0,99.6655
372.5,99.56811
373.0,99.46783
373.5,99.55912
374.0,99.58291
374.5,99.84156
375.0,99.45429
375.5,99.49891
376.0,99.67255
376.5,99.56332
377.0,99.55423
377.5,99.3546
378.0,99.38637
378.5,99.14883
379.0,99.21091
379.5,99.03616
380.0,98.81777
380.5,98.94322
381.0,98.69933
381.5,98.52928
382.0,98.43622
382.5,98.16087
383.0,97.69782
383.5,97.39462
384.0,96.76886
384.5,96.26453
385.0,95.99515
385.5,96.0074
386.0,96.38014
386.5,96.53386
387.0,96.48472
387.5,96.93066
388.0,97.34455
388.5,97.20932
389.0,97.566
389.5,97.47837
390.0,97.45186
390.5,97.54573
391.0,97.3155
391.5,97.5975
392.0,97.71246
392.5,97.82452
393.0,98.25789
393.5,98.05092
394.0,98.55441
394.5,98.56425
395.0,98.64089
395.5,98.60564
396.0,98.81774
396.5,98.75888
397.0,98.67406
397.5,98.61428
398.0,98.44784
398.5,98.4112
399.0,98.44076
399.5,98.35468
400.0,98.41669
400.5,98.50777
401.0,98.15367
401.5,98.76173
402.0,98.72364
402.5,98.77591
403.0,98.86329
403.5,98.96
404.0,98.64912
404.5,98.74413
405.0,98.61491
405.5,98.83755
406.0,98.70247
406.5,98.5154
407.0,98.2397
407.5,98.23801
408.0,98.24507
408.5,98.21452
409.0,98.30838
409.5,98.35545
410.0,98.58344
410.5,98.45945
411.0,98.54431
411.5,98.39529
412.0,98.38499
412.5,98.40879
413.0,98.62695
413.5,98.51206
414.0,98.35604
414.5,98.37798
415.0,98.36699
415.5,98.41346
416.0,98.3998
416.5,98.20546
417.0,98.25173
417.5,98.50977
418.0,98.24309
418.5,98.52961
419.0,98.44994
419.5,98.48602
420.0,98.4967
420.5,98.47257
421.0,98.54059
421.5,98.38338
422.0,98.35
422.5,98.63561
423.0,98.43681
423.5,98.42393
424.0,98.54973
424.5,98.32928
425.0,98.48486
425.5,98.32787
426.0,98.3707
426.5,98.50252
427.0,98.32049
427.5,98.52238
428.0,98.37673
428.5,98.54399
429.0,98.71779
429.5,98.45535
430.0,98.43126
430.5,98.49045
431.0,98.47149
431.5,98.48103
432.0,98.65506
432.5,98.64207
433.0,98.6253
433.5,98.63449
434.0,98.63153
434.5,98.62458
435.0,98.73741
435.5,98.73108
436.0,98.61948
436.5,98.7221
437.0,98.76279
437.5,98.77625
438.0,98.7083
438.5,98.64294
439.0,98.72772
439.5,98.65355
440.0,98.71852
440.5,98.60744
441.0,98.65621
441.5,98.57143
442.0,98.57978
442.5,98.6376
443.0,98.66316
443.5,98.59065
444.0,98.75325
444.5,98.73939
445.0,98.6895
445.5,98.73785
446.0,98.83509
446.5,98.83308
447.0,98.75692
447.5,98.76161
448.0,98.82736
448.5,98.78603
449.0,98.72309
449.5,98.66803
450.0,98.59122
450.5,98.678
451.0,98.62367
451.5,98.43974
452.0,98.43913
452.5,98.31493
453.0,98.43661
453.5,98.38879
454.0,98.30229
454.5,98.46462
455.0,98.40591
455.5,98.44055
456.0,98.52319
456.5,98.51871
457.0,98.59851
457.5,98.71666
458.0,98.82571
458.5,98.76373
459.0,98.68867
459.5,98.83078
460.0,98.71302
460.5,98.68375
461.0,98.69183
461.5,98.56277
462.0,98.78104
462.5,98.50941
463.0,98.45724
463.5,98.55957
464.0,98.37518
464.5,98.22843
465.0,98.2635
465.5,98.17649
466.0,98.245
466.5,98.20197
467.0,98.22881
467.5,98.25612
468.0,98.42409
468.5,98.34124
469.0,98.51826
469.5,98.58089
470.0,98.67874
470.5,98.78443
471.0,98.79798
471.5,98.68215
472.0,98.84105
472.5,98.68102
473.0,98.85638
473.5,98.70161
474.0,98.73236
474.5,98.63937
475.0,98.55901
475.5,98.71017
476.0,98.5733
476.5,98.52988
477.0,98.36724
477.5,98.32726
478.0,98.30036
478.5,98.35196
479.0,98.30139
479.5,98.48867
480.0,98.46909
480.5,98.55519
481.0,98.63438
481.5,98.63451
482.0,98.84498
482.5,98.7338
483.0,98.86309
483.5,98.91244
484.0,98.92587
484.5,99.04848
485.0,99.01669
485.5,98.98463
486.0,98.9646
486.5,98.94368
487.0,99.07261
487.5,98.94781
488.0,98.86905
488.5,98.91061
489.0,98.80155
489.5,98.79057
490.0,98.66571
490.5,98.50924
491.0,98.53385
491.5,98.47128
492.0,98.33834
492.5,98.31771
493.0,98.23889
493.5,98.14556
494.0,98.37337
494.5,98.36118
495.0,98.42187
495.5,98.54063
496.0,98.5654
496.5,98.66313
497.0,98.76946
497.5,98.73328
498.0,98.95403
498.5,98.87188
499.0,98.98676
499.5,98.89236
500.0,98.99687
500.5,98.882
501.0,98.93648
501.5,98.89276
502.0,98.85047
502.5,98.77669
503.0,98.66766
503.5,98.68552
504.0,98.44189
504.5,98.37016
505.0,98.3053
505.5,98.05444
506.0,98.09763
506.5,97.92452
507.0,97.86104
507.5,98.0155
508.0,98.02705
508.5,98.19807
509.0,98.30473
509.5,98.4147
510.0,98.66534
510.5,98.6822
511.0,98.8813
511.5,99.0952
512.0,99.05057
512.5,99.24114
513.0,99.13309
513.5,99.28519
514.0,99.4062
514.5,99.27594
515.0,99.46389
515.5,99.40752
516.0,99.42989
516.5,99.40152
517.0,99.28934
517.5,99.47195
518.0,99.36204
518.5,99.39476
519.0,99.49803
519.5,99.34723
520.0,99.51556
520.5,99.36312
521.0,99.36639
521.5,99.37869
522.0,99.23844
522.5,99.36354
523.0,99.35337
523.5,99.24785
524.0,99.35039
524.5,99.2285
525.0,99.25976
525.5,99.23553
526.0,99.25385
526.5,99.23363
527.0,99.14599
527.5,99.18431
528.0,99.18153
528.5,99.09003
529.0,99.19783
529.5,99.05952
530.0,99.13503
530.5,99.12878
531.0,99.03547
531.5,99.09096
532.0,99.05951
532.5,98.9903
533.0,99.05234
533.5,99.04451
534.0,98.99181
534.5,99.07461
535.0,99.0297
535.5,99.07394
536.0,98.97913
536.5,99.05291
537.0,98.98863
537.5,98.85902
538.0,98.80228
538.5,98.84823
539.0,98.84324
539.5,98.79417
540.0,98.68974
540.5,98.69295
541.0,98.67754
541.5,98.6915
542.0,98.58249
542.5,98.30112
543.0,98.37814
543.5,98.12148
544.0,98.04567
544.5,98.0775
545.0,97.65256
545.5,97.60896
546.0,97.29752
546.5,96.90802
547.0,96.70521
547.5,96.0946
548.0,95.70322
548.5,95.05748
549.0,94.27223
549.5,93.29201
550.0,92.00365
550.5,90.85901
551.0,89.18005
551.5,87.12606
552.0,84.85804
552.5,82.00969
553.0,78.91871
553.5,75.24785
554.0,71.39494
554.5,67.15218
555.0,62.61994
555.5,58.01953
556.0,53.38677
556.5,48.57616
557.0,44.24242
557.5,39.67829
558.0,35.40305
558.5,31.2028
559.0,27.27833
559.5,23.58353
560.0,20.1452
560.5,17.08372
561.0,14.56178
561.5,12.36684
562.0,10.70411
562.5,9.42086
563.0,8.46396
563.5,7.78605
564.0,7.26063
564.5,6.83061
565.0,6.47427
565.5,6.08956
566.0,5.71127
566.5,5.29194
567.0,4.89308
567.5,4.45904
568.0,4.00906
568.5,3.60291
569.0,3.16889
569.5,2.77801
570.0,2.42139
570.5,2.09655
571.0,1.81043
571.5,1.55245
572.0,1.34777
572.5,1.15034
573.0,1.00678
573.5,0.85945
574.0,0.75904
574.5,0.69363
575.0,0.61856
575.5,0.58118
576.0,0.52998
576.5,0.50344
577.0,0.49328
577.5,0.49843
578.0,0.51085
578.5,0.55077
579.0,0.5594
579.5,0.59621
580.0,0.66475
580.5,0.74595
581.0,0.81279
581.5,0.89934
582.0,0.97288
582.5,1.05638
583.0,1.12864
583.5,1.21648
584.0,1.27143
584.5,1.31021
585.0,1.35921
585.5,1.37775
586.0,1.39167
586.5,1.38227
587.0,1.36312
587.5,1.31399
588.0,1.26887
588.5,1.18334
589.0,1.10391
589.5,1.0216
590.0,0.94369
590.5,0.83804
591.0,0.73532
591.5,0.67274
592.0,0.58591
592.5,0.5167
593.0,0.4611
593.5,0.43408
594.0,0.39793
594.5,0.391
595.0,0.38615
595.5,0.42539
596.0,0.44601
596.5,0.479
597.0,0.53897
597.5,0.60584
598.0,0.66174
598.5,0.72946
599.0,0.79208
599.5,0.8614
600.0,0.90315
600.5,0.96573
601.0,0.98818
601.5,1.02102
602.0,1.04708
602.5,1.03372
603.0,1.01382
603.5,0.99612
604.0,0.95612
604.5,0.90012
605.0,0.8554
605.5,0.79672
606.0,0.7295
606.5,0.65587
607.0,0.58808
607.5,0.54734
608.0,0.46926
608.5,0.42682
609.0,0.38023
609.5,0.35626
610.0,0.32539
610.5,0.31677
611.0,0.34685
611.5,0.32754
612.0,0.36629
612.5,0.41545
613.0,0.46155
613.5,0.51256
614.0,0.5867
614.5,0.67034
615.0,0.73408
615.5,0.83408
616.0,0.9153
616.5,0.98861
617.0,1.0672
617.5,1.11683
618.0,1.20581
618.5,1.25212
619.0,1.29427
619.5,1.33495
620.0,1.32604
620.5,1.35409
621.0,1.34741
621.5,1.33557
622.0,1.31627
622.5,1.29655
623.0,1.25156
623.5,1.20696
624.0,1.14898
624.5,1.09113
625.0,1.03448
625.5,0.96385
626.0,0.89874
626.5,0.86234
627.0,0.77843
627.5,0.71101
628.0,0.64651
628.5,0.59401
629.0,0.5495
629.5,0.4903
630.0,0.46081
630.5,0.43131
631.0,0.40978
631.5,0.39192
632.0,0.37343
632.5,0.34755
633.0,0.34987
633.5,0.35219
634.0,0.33797
634.5,0.32807
635.0,0.34427
635.5,0.34446
636.0,0.35114
636.5,0.37907
637.0,0.34891
637.5,0.36208
638.0,0.38131
638.5,0.36743
639.0,0.37732
639.5,0.37895
640.0,0.38603
640.5,0.36885
641.0,0.36169
641.5,0.34934
642.0,0.35741
642.5,0.35454
643.0,0.35724
643.5,0.36149
644.0,0.35853
644.5,0.35642
645.0,0.37961
645.5,0.38458
646.0,0.39448
646.5,0.41011
647.0,0.44498
647.5,0.46758
648.0,0.50296
648.5,0.54464
649.0,0.57942
649.5,0.60837
650.0,0.65627
650.5,0.70082
651.0,0.76303
651.5,0.80531
652.0,0.83784
652.5,0.885
653.0,0.92807
653.5,0.99223
654.0,1.01164
654.5,1.04889
655.0,1.08102
655.5,1.0999
656.0,1.12515
656.5,1.11516
657.0,1.13483
657.5,1.12491
658.0,1.12484
658.5,1.124
659.0,1.11961
659.5,1.09731
660.0,1.06677
660.5,1.04997
661.0,1.01602
661.5,0.97108
662.0,0.93167
662.5,0.88332
663.0,0.84996
663.5,0.79118
664.0,0.77752
664.5,0.747
665.0,0.67617
665.5,0.64989
666.0,0.62113
666.5,0.56538
667.0,0.52427
667.5,0.54689
668.0,0.50185
668.5,0.48914
669.0,0.4568
669.5,0.44201
670.0,0.46184
670.5,0.45135
671.0,0.41684
671.5,0.41366
672.0,0.45597
672.5,0.45826
673.0,0.43377
673.5,0.44589
674.0,0.49113
674.5,0.46467
675.0,0.49361
675.5,0.49955
676.0,0.50572
676.5,0.51393
677.0,0.54382
677.5,0.53417
678.0,0.54828
678.5,0.57647
679.0,0.55278
679.5,0.55047
680.0,0.56398
680.5,0.53169
681.0,0.53157
681.5,0.50612
682.0,0.51559
682.5,0.51062
683.0,0.48531
683.5,0.48865
684.0,0.48984
684.5,0.44712
685.0,0.46556
685.5,0.48551
686.0,0.47475
686.5,0.49267
687.0,0.46972
687.5,0.48643
688.0,0.51365
688.5,0.52325
689.0,0.52648
689.5,0.55416
690.0,0.55981
690.5,0.59899
691.0,0.61684
691.5,0.66551
692.0,0.69717
692.5,0.72991
693.0,0.7813
693.5,0.8361
694.0,0.8719
694.5,0.89294
695.0,0.95157
695.5,0.98273
696.0,1.02822
696.5,1.07851
697.0,1.09921
697.5,1.14358
698.0,1.20032
698.5,1.20625
699.0,1.25171
699.5,1.22562
700.0,1.24487
700.5,1.25253
701.0,1.26198
701.5,1.30535
702.0,1.28711
702.5,1.24974
703.0,1.26744
703.5,1.212
704.0,1.20998
704.5,1.17784
705.0,1.13087
705.5,1.12727
706.0,1.08378
706.5,1.04715
707.0,1.00242
707.5,0.92856
708.0,0.92245
708.5,0.8796
709.0,0.86367
709.5,0.80536
710.0,0.75917
710.5,0.76512
711.0,0.749
711.5,0.69409
712.0,0.67144
712.5,0.69457
713.0,0.62763
713.5,0.60094
714.0,0.63958
714.5,0.63926
715.0,0.65102
715.5,0.64509
716.0,0.64598
716.5,0.67727
717.0,0.68382
717.5,0.73356
718.0,0.76469
718.5,0.81181
719.0,0.84332
719.5,0.8695
720.0,0.9477
720.5,0.96135
721.0,0.97782
721.5,1.05778
722.0,1.07264
722.5,1.14618
723.0,1.15625
723.5,1.19106
724.0,1.21537
724.5,1.25909
725.0,1.28619
725.5,1.31339
726.0,1.31587
726.5,1.34915
727.0,1.32446
727.5,1.35196
728.0,1.33277
728.5,1.31811
729.0,1.30598
729.5,1.30176
730.0,1.31551
730.5,1.2532
731.0,1.23261
731.5,1.18614
732.0,1.17047
732.5,1.13154
733.0,1.09123
733.5,1.03167
734.0,1.0081
734.5,0.9294
735.0,0.91099
735.5,0.83072
736.0,0.82716
736.5,0.79997
737.0,0.73957
737.5,0.6854
738.0,0.65419
738.5,0.60601
739.0,0.59725
739.5,0.53724
740.0,0.50855
740.5,0.48851
741.0,0.48188
741.5,0.45015
742.0,0.47697
742.5,0.5122
743.0,0.50293
743.5,0.47706
744.0,0.47874
744.5,0.48914
745.0,0.5249
745.5,0.53045
746.0,0.5712
746.5,0.57995
747.0,0.60705
747.5,0.65511
748.0,0.65069
748.5,0.68574
749.0,0.69885
749.5,0.73766
750.0,0.73881
750.5,0.80921
751.0,0.85173
751.5,0.8901
752.0,0.87638
752.5,0.94546
753.0,0.95445
753.5,0.9736
754.0,0.95679
754.5,0.99772
755.0,1.05222
755.5,1.02116
756.0,0.99939
756.5,0.9969
757.0,0.9998
757.5,0.98783
758.0,0.97085
758.5,0.92341
759.0,0.89548
759.5,0.96918
760.0,0.88922
760.5,0.89158
761.0,0.83628
761.5,0.76179
762.0,0.79594
762.5,0.78996
763.0,0.7169
763.5,0.70731
764.0,0.67616
764.5,0.59239
765.0,0.58789
765.5,0.5803
766.0,0.54294
766.5,0.50364
767.0,0.49311
767.5,0.4853
768.0,0.47251
768.5,0.45333
769.0,0.47841
769.5,0.39727
770.0,0.42858
770.5,0.43283
771.0,0.44483
771.5,0.40186
772.0,0.44491
772.5,0.45865
773.0,0.44726
773.5,0.44172
774.0,0.49111
774.5,0.49243
775.0,0.55692
775.5,0.56
776.0,0.56872
776.5,0.60667
777.0,0.67107
777.5,0.65993
778.0,0.67521
778.5,0.73833
779.0,0.75321
779.5,0.80309
780.0,0.82173
780.5,0.84402
781.0,0.84373
781.5,0.82065
782.0,0.87716
782.5,0.954
783.0,0.96037
783.5,0.96344
784.0,0.93116
784.5,0.92902
785.0,0.96772
785.5,0.9258
786.0,0.97551
786.5,0.97544
787.0,0.95432
787.5,0.90545
788.0,0.96133
788.5,0.81703
789.0,0.89193
789.5,0.86542
790.0,0.8385
790.5,0.79542
791.0,0.78068
791.5,0.74503
792.0,0.75617
792.5,0.77469
793.0,0.6965
793.5,0.64718
794.0,0.64615
794.5,0.62416
795.0,0.66606
795.5,0.57279
796.0,0.48558
796.5,0.54318
797.0,0.48837
797.5,0.52678
798.0,0.522
798.5,0.38796
799.0,0.44322
799.5,0.39016
800.0,0.62575
800.5,0.58538
801.0,0.6472
801.5,0.61406
802.0,0.63482
802.5,0.57205
803.0,0.65315
803.5,0.6795
804.0,0.62987
804.5,0.79815
805.0,0.68606
805.5,0.7733
806.0,0.82094
806.5,0.77832
807.0,0.78381
807.5,0.91792
808.0,0.94593
808.5,0.95504
809.0,1.05385
809.5,1.06964
810.0,1.09426
810.5,1.08267
811.0,1.17073
811.5,1.24123
812.0,1.22973
812.5,1.24601
813.0,1.27468
813.5,1.36284
814.0,1.33734
814.5,1.41068
815.0,1.4035
815.5,1.45425
816.0,1.39427
816.5,1.42835
817.0,1.43912
817.5,1.40686
818.0,1.46294
818.5,1.44907
819.0,1.48048
819.5,1.47696
820.0,1.48638
820.5,1.43561
821.0,1.4454
821.5,1.41563
822.0,1.47544
822.5,1.43044
823.0,1.31708
823.5,1.29679
824.0,1.34221
824.5,1.30221
825.0,1.29396
825.5,1.25499
826.0,1.26339
826.5,1.25012
827.0,1.08533
827.5,1.10894
828.0,1.01882
828.5,1.03909
829.0,1.03576
829.5,1.01531
830.0,0.97584
830.5,0.89499
831.0,0.9312
831.5,0.87426
832.0,0.86915
832.5,0.82815
833.0,0.83976
833.5,0.79384
834.0,0.74026
834.5,0.76374
835.0,0.83452
835.5,0.78465
836.0,0.80022
836.5,0.76111
837.0,0.70782
837.5,0.76712
838.0,0.73551
838.5,0.85577
839.0,0.75985
839.5,0.77202
840.0,0.78858
840.5,0.8583
841.0,0.82475
841.5,0.82005
842.0,0.8722
842.5,0.82816
843.0,0.87152
843.5,0.93223
844.0,0.88323
844.5,0.91588
845.0,0.96756
845.5,0.99209
846.0,0.95527
846.5,0.98729
847.0,1.05107
847.5,1.03532
848.0,1.00927
848.5,1.03379
849.0,1.0736
849.5,1.07236
850.0,1.07635
850.5,1.09152
851.0,1.10827
851.5,1.06918
852.0,1.11899
852.5,1.07967
853.0,1.05841
853.5,1.0464
854.0,1.12111
854.5,1.07347
855.0,0.97481
855.5,1.015
856.0,0.98084
856.5,0.99982
857.0,0.96371
857.5,0.90273
858.0,1.01241
858.5,0.86081
859.0,0.90248
859.5,0.82305
860.0,0.87006
860.5,0.88485
861.0,0.77978
861.5,0.74999
862.0,0.75282
862.5,0.68464
863.0,0.66705
863.5,0.63034
864.0,0.67656
864.5,0.64335
865.0,0.60896
865.5,0.60422
866.0,0.6286
866.5,0.53118
867.0,0.54489
867.5,0.51459
868.0,0.44172
868.5,0.45912
869.0,0.53553
869.5,0.48523
870.0,0.51866
870.5,0.4484
871.0,0.48163
871.5,0.49909
872.0,0.44194
872.5,0.46994
873.0,0.51167
873.5,0.51751
874.0,0.51202
874.5,0.48924
875.0,0.55194
875.5,0.55255
876.0,0.57046
876.5,0.56211
877.0,0.6384
877.5,0.68561
878.0,0.66482
878.5,0.74665
879.0,0.7619
879.5,0.77296
880.0,0.81555
880.5,0.82036
881.0,0.82071
881.5,0.85843
882.0,0.88805
882.5,0.879
883.0,0.92196
883.5,0.93914
884.0,0.96854
884.5,1.00474
885.0,0.99454
885.5,0.95293
886.0,1.02781
886.5,1.0647
887.0,1.05172
887.5,1.02281
888.0,1.07585
888.5,1.02418
889.0,1.01839
889.5,1.09314
890.0,1.03824
890.5,1.02971
891.0,1.00899
891.5,0.99513
892.0,1.02585
892.5,1.03045
893.0,0.97039
893.5,0.94672
894.0,0.93376
894.5,0.90601
895.0,0.89076
895.5,0.89442
896.0,0.83216
896.5,0.79537
897.0,0.8137
897.5,0.80134
898.0,0.76579
898.5,0.74684
899.0,0.71457
899.5,0.71596
900.0,0.66698
900.5,0.69937
901.0,0.61659
901.5,0.64458
902.0,0.60695
902.5,0.5893
903.0,0.55816
903.5,0.5988
904.0,0.58108
904.5,0.59873
905.0,0.53784
905.5,0.56284
906.0,0.54189
906.5,0.56406
907.0,0.55682
907.5,0.57571
908.0,0.57758
908.5,0.60226
909.0,0.61934
909.5,0.64747
910.0,0.69373
910.5,0.71196
911.0,0.71795
911.5,0.76038
912.0,0.78085
912.5,0.78175
913.0,0.84029
913.5,0.8332
914.0,0.89726
914.5,0.9346
915.0,1.00352
915.5,1.00322
916.0,1.04134
916.5,1.0694
917.0,1.1223
917.5,1.17901
918.0,1.1575
918.5,1.22482
919.0,1.28898
919.5,1.28298
920.0,1.37852
920.5,1.38179
921.0,1.41365
921.5,1.42599
922.0,1.43582
922.5,1.47512
923.0,1.47065
923.5,1.50889
924.0,1.50039
924.5,1.52432
925.0,1.47987
925.5,1.53366
926.0,1.48776
926.5,1.50959
927.0,1.51145
927.5,1.49249
928.0,1.46196
928.5,1.49816
929.0,1.4853
929.5,1.43024
930.0,1.39813
930.5,1.37943
931.0,1.35913
931.5,1.34174
932.0,1.30172
932.5,1.24396
933.0,1.18807
933.5,1.16395
934.0,1.15366
934.5,1.08106
935.0,1.08807
935.5,1.03349
936.0,0.98052
936.5,0.95765
937.0,0.92484
937.5,0.87987
938.0,0.85271
938.5,0.84564
939.0,0.81253
939.5,0.79611
940.0,0.77836
940.5,0.79968
941.0,0.75047
941.5,0.75445
942.0,0.81775
942.5,0.83206
943.0,0.85101
943.5,0.84691
944.0,0.87473
944.5,0.94507
945.0,0.97839
945.5,1.08021
946.0,1.11645
946.5,1.21712
947.0,1.27954
947.5,1.3905
948.0,1.51049
948.5,1.60781
949.0,1.75801
949.5,1.87677
950.0,2.0137
